,INSP_UNIT_MAKE,0,1,2,3,4,5,6,7,total_count
1777,KGMF,5.0,2.0,3.0,10.0,1.0,8.0,3.0,7.0,34.0
480,CAMS,1.0,2.0,1.0,18.0,2.0,8.0,1.0,2.0,34.0
1793,KMAR,4.0,0.0,1.0,14.0,4.0,6.0,2.0,6.0,33.0
1897,LEDW,1.0,6.0,0.0,9.0,2.0,7.0,5.0,4.0,33.0
960,DYNW,1.0,8.0,0.0,7.0,2.0,9.0,5.0,2.0,33.0
2642,RAMA,1.0,4.0,1.0,11.0,0.0,6.0,3.0,7.0,32.0
1856,LAND,2.0,11.0,2.0,7.0,3.0,5.0,2.0,2.0,32.0
2687,RDKG,1.0,3.0,0.0,13.0,2.0,8.0,5.0,1.0,32.0
868,DIAT,2.0,1.0,0.0,10.0,1.0,15.0,4.0,1.0,32.0
1350,GREA,7.0,4.0,6.0,7.0,5.0,0.0,5.0,4.0,31.0
1083,FAIM,2.0,1.0,0.0,11.0,0.0,11.0,4.0,4.0,31.0
969,EAGI,1.0,25.0,1.0,0.0,0.0,2.0,0.0,3.0,31.0
1780,KIDR,4.0,13.0,2.0,1.0,8.0,1.0,5.0,1.0,31.0
464,CAM S,0.0,3.0,0.0,13.0,1.0,9.0,3.0,2.0,31.0
2396,P.J.,1.0,0.0,2.0,14.0,0.0,5.0,3.0,7.0,31.0
3066,SUNC,0.0,2.0,2.0,10.0,3.0,5.0,6.0,2.0,30.0
2017,MACA,1.0,6.0,3.0,3.0,4.0,2.0,8.0,4.0,30.0
3582,VOL,2.0,5.0,3.0,6.0,0.0,1.0,6.0,9.0,30.0
1965,LOAT,0.0,0.0,0.0,8.0,2.0,6.0,0.0,14.0,30.0
2486,PHAA,2.0,1.0,3.0,6.0,5.0,6.0,3.0,6.0,30.0
654,COML,5.0,2.0,3.0,5.0,0.0,8.0,5.0,7.0,30.0
3635,WCTR,2.0,3.0,2.0,4.0,3.0,5.0,6.0,6.0,29.0
193,AZTC,5.0,8.0,4.0,3.0,2.0,3.0,4.0,5.0,29.0
357,BRAV,1.0,1.0,2.0,15.0,5.0,4.0,2.0,0.0,29.0
3360,TRLE,8.0,5.0,4.0,6.0,2.0,4.0,5.0,3.0,29.0
1200,FREE,5.0,3.0,2.0,9.0,1.0,5.0,4.0,5.0,29.0
3398,TRST,0.0,6.0,2.0,11.0,1.0,4.0,1.0,4.0,29.0
1763,KENWO,3.0,9.0,1.0,2.0,1.0,5.0,4.0,7.0,29.0
2319,NORST,2.0,0.0,0.0,12.0,3.0,11.0,1.0,2.0,29.0
2980,STAG,0.0,1.0,2.0,9.0,1.0,7.0,3.0,6.0,29.0
2558,PREM,8.0,0.0,0.0,10.0,3.0,6.0,2.0,8.0,29.0
214,BAND,3.0,1.0,2.0,12.0,3.0,6.0,4.0,1.0,29.0
83,ALUM,2.0,1.0,0.0,18.0,4.0,4.0,0.0,2.0,29.0
3061,SUN C,1.0,4.0,0.0,6.0,3.0,3.0,5.0,8.0,29.0
3622,WANA,1.0,9.0,0.0,5.0,1.0,2.0,4.0,7.0,28.0
23,ABTR,3.0,4.0,1.0,6.0,4.0,3.0,7.0,3.0,28.0
260,BELS,2.0,3.0,2.0,5.0,5.0,6.0,6.0,1.0,28.0
1119,FERBU,0.0,0.0,10.0,0.0,15.0,0.0,2.0,1.0,28.0
3620,WALTO,5.0,0.0,3.0,5.0,4.0,10.0,3.0,3.0,28.0
1586,INTI,2.0,6.0,1.0,6.0,2.0,2.0,7.0,3.0,27.0
2375,OTHE,1.0,0.0,1.0,10.0,3.0,5.0,3.0,5.0,27.0
3248,TOKE,3.0,3.0,3.0,7.0,1.0,5.0,3.0,5.0,27.0
137,APLE,1.0,2.0,2.0,10.0,0.0,7.0,1.0,5.0,27.0
2435,PARK,0.0,4.0,0.0,1.0,5.0,8.0,2.0,7.0,27.0
1551,IMPD,8.0,0.0,0.0,10.0,0.0,11.0,3.0,3.0,27.0
3115,SWGN,0.0,0.0,3.0,6.0,5.0,7.0,3.0,3.0,27.0
2506,PITT,0.0,4.0,2.0,6.0,1.0,1.0,6.0,7.0,27.0
2749,RING,2.0,0.0,3.0,11.0,0.0,7.0,2.0,3.0,26.0
125,ANDI,2.0,3.0,0.0,8.0,3.0,10.0,0.0,2.0,26.0
